Abbreviation	Full name
LSU	Louisiana State University Museum of Natural Science
USNM	Smithsonian Institution National Museum of Natural History
UWBM	Ornithology Collections Database - Burke Museum
UAM	University of Alaska Museum Department of Ornithology
FMNH	The Field Museum - Welcome to The Field Museum
AMNH	American Museum of Natural History
MACN	Museo Argentino de Ciencias Naturales
ANWC	Australian National Wildlife Collection
LGEMA	Laboratório de Genética e Evolução Molecular de Aves (LGEMA)
BIOUG	Centre for Biodiversity Genomics (BIOUG) - Canadensys Explorer
NRM	Naturhistoriska riksmuseet: Startsida
ZMUC	Zoological Museum – University of Copenhage
MPEG	Museu Paraense Emílio Goeldi
NHMO	NHMO DNA Bank - Oslo University Natural History Museum
IPMB	Institute of Plant and Microbial Biology
ANSP	Academy of Natural Sciences of Drexel University
KUNHM	Kansas University Biodiversity Institute & Natural History Museum
MVZ	The Museum of Vertebrate Zoology at Berkeley
INPA	INPA - National Institute of Amazon Researches
NSMT	"National Museum of Nature and Science,Tokyo"
MBM	Museu Botânico Municipal (Curitiba)
BMNH	Natural History Museum London
UMMZ	University of Michigan Museum of Zoology 
MSB	Museum of Southwestern Biology - The University of New Mexico
YIO	Yamashina Institute for Ornithology
BISE	Biodiversity Information System for Europe
MZFC	UNAM - Colección Ornitológica del Museo de Zoología
RMCA	Royal Museum for Central Africa - Tervuren - Belgium
STRI	Smithsonian Tropical Research Institute
MNHN	Muséum national d'Histoire naturelle
DZUG	"Zoology - University of Gothenburg, Sweden"
