Abbreviation	Full name
LSU	Louisiana State University Museum of Natural Science
USNM	Smithsonian Institution National Museum of Natural History
UWBM	Burke Museum
UAM	University of Alaska Museum
FMNH	The Field Museum
AMNH	American Museum of Natural History
MACN	Museo Argentino de Ciencias Naturales
ANWC	Australian National Wildlife Collection
LGEMA	Laboratorio de Genetica e Evolucao Molecular de Aves
BIOUG	Centre for Biodiversity Genomics
NRM	Naturhistoriska riksmuseet
ZMUC	Zoological Museum University of Copenhagen
MPEG	Museu Paraense Emilio Goeldi
NHMO	Natural History Museum Oslo University
IPMB	Institute of Plant and Microbial Biology
ANSP	Academy of Natural Sciences of Drexel University
KUNHM	Kansas University Biodiversity Institute & Natural History Museum
MVZ	The Museum of Vertebrate Zoology at Berkeley
INPA	National Institute of Amazon Researches
NSMT	"National Museum of Nature and Science,Tokyo"
MBM	Museu Botanico Municipal (Curitiba)
BMNH	Natural History Museum London
UMMZ	University of Michigan Museum of Zoology 
MSB	Museum of Southwestern Biology  The University of New Mexico
YIO	Yamashina Institute for Ornithology
BISE	Biodiversity Information System for Europe
MZFC	UNAM - Coleccion Ornitologica del Museo de Zoologia
RMCA	Royal Museum for Central Africa Tervuren Belgium
STRI	Smithsonian Tropical Research Institute
MNHN	Museum national dHistoire naturelle
DZUG	Zoology University of Gothenburg
